"","WT1","WT2","WT3","muMT1","muMT2"
"Gm26953",2,2,6,1,1
"Gm27998",0,0,0,0,0
"Gm27882",0,0,0,0,0
"Gm27627",0,0,0,0,0
"Gm27357",0,0,0,0,0
"Cryba4",12,24,19,11,28
"Crybb1",64,114,102,70,97
"Tpst2",631,857,973,643,851
"Tfip11",999,1398,1687,987,1404
"Srrd",220,308,311,226,312
"Hps4",267,357,392,285,382
"Gm6583",2,1,4,1,1
"Gm43759",7,13,28,4,5
"Gm43758",1,1,1,0,0
"Gm20636",6,7,10,4,12
"Asphd2",2983,4592,4995,3421,4784
"Sez6l",5044,6890,8764,4800,7174
"Gm6588",2,0,0,0,0
"Gm27004",45,34,62,27,47
"1700034G24Rik",10,8,15,3,8
"4933415J04Rik",0,0,0,1,1
"Gm42864",71,99,128,56,100
"Gm42865",7,11,9,7,9
"Myo18b",43,53,60,48,41
"1700095B10Rik",0,0,0,0,0
"Grk3",1692,1991,2719,1038,1835
"Gm22740",0,0,0,0,0
"Crybb2",0,0,0,0,0
"Gm43247",0,0,0,2,0
"Crybb3",29,22,33,26,35
"2900026A02Rik",1969,2529,3591,1678,3048
"Gm43246",0,0,0,0,0
"F830115B05Rik",0,0,0,0,0
"4930557B06Rik",0,0,0,0,0
"Gm42161",0,1,0,0,1
"Gm43094",1,0,0,0,0
"Tmem211",0,2,0,0,0
"Sgsm1",1449,1762,1979,1145,1548
"4930405N21Rik",0,0,0,1,1
"Gm43353",0,0,0,0,0
"Mir7229",0,0,0,0,0
"Mir7230",0,0,0,0,0
"Aym1",0,0,0,0,0
"Wscd2",1069,1673,2030,1052,1975
"Cmklr1",53,80,97,44,61
"Gm15736",0,0,0,0,0
"1700069L16Rik",2,0,0,0,0
"Ficd",330,425,530,332,431
"Sart3",878,1455,1639,1027,1481
"Gm3511",1,2,1,2,3
"Iscu",1253,2062,1931,1511,1843
"Tmem119",512,719,767,567,695
"Gm19931",0,0,0,0,0
"Selplg",506,711,766,579,800
"Coro1c",1678,2717,3087,1871,2622
"Gm17122",0,0,0,0,0
"Gm43335",0,1,0,0,0
"Gm43336",2,0,1,0,0
"Gm42797",3,1,5,1,0
"Gm22056",1,1,3,2,2
"Ssh1",439,604,769,423,587
"Dao",3,3,5,0,4
"Svop",3952,5706,6371,3929,5586
"Usp30",821,1217,1398,933,1198
"Gm17833",0,1,2,0,1
"Gm42913",0,2,4,0,1
"Alkbh2",45,57,78,61,64
"Ung",32,33,48,45,29
"Acacb",100,268,365,164,250
"Gm13784",0,0,0,0,0
"Foxn4",0,1,0,0,0
"Myo1h",23,62,42,24,44
"Kctd10",652,906,1173,586,958
"Ube3b",2272,2936,3617,1953,2886
"Mir7027",0,0,0,0,0
"Mmab",465,615,697,474,700
"Mvk",430,636,634,484,659
"Gm13790",0,1,0,0,0
"Fam222a",70,145,147,101,97
"Trpv4",28,378,356,212,295
"Gltp",508,906,921,749,964
"Tchp",132,248,282,163,206
"Gm42789",0,0,0,0,0
"Mir7028",0,1,1,0,0
"Git2",480,732,869,461,676
"4930515G01Rik",4,4,10,6,4
"Ankrd13a",776,1336,1467,886,1185
"1500011B03Rik",1918,2736,2927,2090,2683
"Ywhaq-ps2",2,3,3,1,0
"Gm13821",0,2,4,1,2
"Mir6240",4,5,4,2,9
"4930519G04Rik",0,0,0,0,0
"Gm9936",2,6,5,2,3
"Gm13823",0,0,0,0,0
"Oasl2",45,107,105,74,111
"Gm13822",0,0,0,0,0
"Oasl1",6,2,8,5,6
"2210016L21Rik",2279,3315,3261,2544,3099
"Hnf1a",0,1,0,0,0
"Hnf1aos1",0,0,0,0,0
"Hnf1aos2",0,0,0,0,0
"1810017P11Rik",0,0,0,0,0
"Sppl3",1121,1445,1682,1044,1482
"C730045M19Rik",0,1,0,0,0
"Gm13827",0,0,0,0,0
"Gm10401",0,0,0,0,0
"Rpl37rt",129,152,145,143,149
"Acads",136,295,281,211,274
"Unc119b",741,1056,1234,659,1017
"Mlec",2336,3714,4231,2338,3681
"Cabp1",1369,1987,1940,1511,2002
"Gm13828",0,0,0,0,0
"Pop5",897,1560,1465,1219,1437
"Rnf10",5545,7884,9050,5685,7820
"Gm13831",0,0,0,0,0
"Coq5",616,954,1063,684,916
"Gm13829",0,0,0,0,2
"Dynll1",5403,8663,9012,6820,9558
"Gm13830",13,14,15,6,19
"Srsf9",903,1336,1481,962,1324
"Gatc",581,774,894,583,803
"Triap1",352,551,603,425,565
"Cox6a1",5990,9079,8634,7562,9330
"Gm42903",2,0,2,0,0
"4930401G09Rik",2,0,0,0,1
"Gm13832",2,0,2,3,1
"A930005G22Rik",7,15,20,13,12
"Gm43231",4,4,2,1,1
"Msi1",545,770,856,482,610
"4930430O22Rik",0,0,0,0,0
"Pla2g1b",0,1,0,0,0
"Sirt4",116,225,209,155,173
"Gm24265",2,21,17,9,5
"Gm24407",1,16,11,3,10
"Gm13836",0,0,0,0,0
"Pxn",354,608,758,416,550
"Gm13840",0,1,0,1,1
"Rplp0",4769,7382,7215,6170,7758
"Gcn1l1",1321,1681,2198,1065,1613
"Mir7029",0,0,0,0,0
"1110006O24Rik",9,15,11,11,23
"Rab35",2004,2838,3141,2120,2859
"Mir7030",0,0,2,0,1
"Bicdl1",753,1207,1245,769,1011
"Gm13841",2,1,2,1,4
"Cit",1005,847,1180,528,577
"Gm42473",0,0,0,0,0
"Gm42471",2,1,2,3,2
"Gm14508",2,3,3,0,4
"Prkab1",238,332,405,233,280
"Gm13842",0,0,0,0,0
"Gm17420",0,0,0,0,0
"Tmem233",0,0,0,0,0
"C330018A13Rik",5,13,12,4,4
"Ccdc60",8,33,42,18,24
"Gm14507",1,0,5,0,0
"Gm13837",0,2,0,0,0
"Gm13839",0,0,0,0,0
"Gm13838",0,0,0,0,0
"B230112J18Rik",4,10,8,4,3
"4933424N20Rik",0,0,2,0,0
"4930562A09Rik",0,0,0,0,0
"Hspb8",312,611,818,486,650
"Srrm4os",0,0,3,0,0
"Srrm4",660,629,860,392,588
"Gm42853",11,12,10,3,12
"4933430H06Rik",1,0,0,0,0
"Gm42854",0,0,1,0,0
"Gstm2-ps1",5,12,14,9,16
"Gm43122",0,0,0,0,1
"Gm29926",0,0,0,0,0
"4930569F06Rik",0,0,0,0,0
"Gm7478",0,0,1,0,2
"Suds3",2080,3067,3251,2295,2926
"9530046B11Rik",2,3,3,1,4
"Taok3",723,1111,1298,632,988
"Gm43637",0,1,0,0,0
"n-R5s174",0,0,0,0,0
"Pebp1",6135,9473,9646,7615,9985
"Gm3786",0,0,0,0,0
"Gm42546",0,0,0,0,0
"BC051077",0,0,0,0,0
"Gm10399",0,1,0,1,0
"Vsig10",40,56,89,42,64
"Gm15727",0,1,0,0,1
"Wsb2",4540,6181,6987,4236,6207
"Rfc5",243,403,356,283,366
"Gm15728",90,109,103,73,95
"Ksr2",915,1033,1730,666,1116
"Gm42550",0,0,0,0,0
"Nos1",1320,1266,1854,787,1452
"Gm37028",0,0,0,0,0
"Gm26995",5,4,6,1,5
"Gm25343",0,0,0,0,0
"Fbxo21",2774,3556,4639,2401,3770
"Gm42545",5,1,3,1,0
"Tesc",499,826,756,697,950
"Fbxw8",662,992,1088,668,974
"Gm9754",0,1,3,2,0
"Gm26411",0,0,0,0,0
"Hrk",873,1298,1490,771,1375
"Rnft2",1609,2139,2552,1190,1885
"Gm24050",0,0,0,0,0
"2410131K14Rik",515,834,1068,498,753
"Gm25076",0,2,3,2,3
"Gm28563",1,0,0,1,2
"Gm26455",0,0,0,0,0
"Gm15754",0,0,0,1,0
"Med13l",1600,1801,2498,1018,1769
"Gm43785",0,0,0,0,0
"Gm43788",1,0,0,0,0
"Gm43275",0,0,0,0,0
"Gm43274",0,0,0,0,0
"Gm43052",0,0,0,0,0
"Gm43051",0,0,0,0,0
"Gm43782",0,0,0,0,0
"Gm43342",0,0,0,0,0
"4930413E15Rik",0,0,0,0,0
"Gm43784",0,0,0,0,0
"1700081H04Rik",0,0,0,0,0
"Gm7538",0,0,0,0,0
"n-R5s175",0,0,0,0,0
"Gm31314",0,0,0,0,0
"Tbx3os1",10,20,17,4,5
"Gm43399",0,0,0,0,0
"Gm16063",0,0,0,0,0
"Gm16064",0,0,0,0,0
"Tbx3",38,37,48,36,61
"Tbx3os2",0,1,0,0,0
"1700021F13Rik",0,0,0,0,0
"Gm43050",0,0,0,0,0
"Tbx5",0,0,0,0,0
"Gm43269",0,0,0,0,0
"Gm38554",0,0,0,0,0
"n-R5s176",0,0,0,0,0
"Rbm19",204,272,319,225,248
"Gm10390",1,1,3,2,3
"Gm42655",3,6,2,0,3
"Gm26474",0,0,0,0,0
"Gm42654",0,1,0,0,0
"Gm27199",0,1,0,0,0
"Lhx5",6,7,4,8,12
"Sdsl",63,105,95,114,120
"Sds",5,8,16,4,11
"Gm15690",2,10,18,15,10
"Plbd2",1269,1762,2168,1331,1738
"Slc8b1",150,196,247,136,173
"Tpcn1",639,908,1087,609,971
"2510016D11Rik",6,17,22,17,15
"Iqcd",20,77,73,46,52
"Rita1",347,447,479,344,412
"Ddx54",752,1141,1275,778,1076
"Gm43579",6,17,15,12,14
"Cfap73",3,19,12,4,16
"Gm42657",0,0,0,0,0
"Gm15749",0,1,1,1,0
"Rasal1",2279,2667,3495,1876,2816
"Dtx1",1492,1842,2191,1308,1733
"Oas2",4,5,9,4,7
"Gm43068",0,0,0,0,0
"Oas3",1,2,1,1,3
"Gm43069",0,0,1,0,1
"Oas1e",0,0,0,0,0
"Oas1c",28,35,39,24,25
"Oas1b",3,5,7,4,8
"Oas1f",0,0,0,0,0
"Gm22907",0,0,0,0,0
"Oas1h",0,0,0,0,0
"Oas1g",1,3,3,0,3
"Oas1a",3,4,8,10,11
"Oas1d",0,0,0,0,0
"Rph3a",5963,8419,8988,5649,7735
"Gm42656",3,1,4,2,5
"Ptpn11",3773,5777,6713,3667,5354
"Gm42930",0,0,0,0,0
"Rpl6",4973,7679,7622,6450,7489
"Gm26205",0,0,0,0,0
"Hectd4",4088,4796,6376,2645,4314
"Gm24671",0,0,0,0,0
"Trafd1",973,1342,1618,871,1304
"Gm42917",3,4,2,5,8
"Gm42918",15,40,37,13,26
"Naa25",588,727,1042,421,772
"Gm43420",1,0,0,0,0
"Erp29",1622,2601,2648,2001,2456
"Tmem116",25,39,66,23,48
"Gm15546",0,0,0,0,0
"Adam1b",0,4,2,2,0
"4930477O15Rik",1,7,0,1,4
"Adam1a",26,41,38,29,55
"Gm42878",0,0,0,1,1
"Mapkapk5",71,144,126,95,120
"Gm15547",1,0,0,1,0
"Aldh2",1713,3153,3690,2456,3160
"Gm42879",2,8,9,6,4
"Acad12",47,84,115,68,82
"Acad10",36,77,87,45,70
"Brap",1316,2048,2234,1313,1960
"Atxn2",1039,1412,1621,924,1333
"Gm43571",0,1,0,0,0
"Gm16552",0,0,0,0,0
"Gm42866",1,1,0,0,0
"Sh2b3",398,508,549,348,525
"Mir7031",0,0,1,0,1
"1700008B11Rik",1,0,1,0,1
"4933437G19Rik",0,1,0,3,2
"Pheta1",208,292,310,225,286
"Cux2",719,771,906,427,438
"Gm3970",0,0,0,0,0
"Gm15637",0,0,1,0,0
"Myl2",6,4,15,9,9
"Ccdc63",8,13,11,5,7
"Ppp1cc",1244,1971,2282,1269,1853
"Gm42748",1,1,2,0,3
"Hvcn1",23,34,42,26,31
"Tctn1",224,394,424,248,287
"Gm15481",0,0,0,0,0
"Pptc7",853,1078,1552,696,1035
"Gm15842",0,0,0,0,0
"Rad9b",29,57,61,25,42
"Vps29",2040,2959,3515,2336,3098
"Fam216a",755,1102,1171,900,1100
"Gpn3",364,498,523,414,530
"Gm42830",0,0,0,1,0
"Arpc3",2699,4652,4679,3558,4488
"Gm42829",191,281,281,187,255
"Anapc7",821,1183,1316,868,1190
"Gm15846",2,2,2,1,0
"Atp2a2",13565,18092,23093,11156,17317
"Gm43359",0,1,1,0,1
"Gm43360",1,0,1,2,0
"Gm43361",0,0,0,0,0
"Gm22965",6,5,2,7,6
"Ift81",498,676,817,481,628
"Gm43541",0,0,0,0,0
"Gm43301",0,0,0,0,1
"P2rx7",137,204,299,123,220
"Mir8115",0,0,0,0,0
"Gm10064",0,0,0,0,0
"P2rx4",131,242,232,183,214
"Camkk2",2313,3132,3608,2219,2998
"Gm43684",1,3,5,8,4
"Anapc5",2962,4331,4698,2859,4111
"Rnf34",1213,1796,1948,1322,1832
"Kdm2b",265,371,513,238,393
"Gm43411",0,0,0,0,0
"Gm44574",0,0,0,0,0
"A930024E05Rik",81,133,118,81,123
"Gm2479",0,1,1,0,1
"Orai1",126,288,259,205,217
"Morn3",4,13,30,15,20
"Gm43412",8,6,8,9,7
"Gm26745",0,0,0,0,0
"Gm6444",6,14,13,6,4
"Tmem120b",113,133,168,98,149
"Rhof",804,1222,1352,922,1093
"Gm43413",2,3,5,0,3
"AI480526",58,102,147,58,79
"Gm38102",12,19,40,4,22
"4932422M17Rik",18,31,35,3,22
"Setd1b",621,769,1098,415,731
"Psmd9",522,755,807,557,705
"Hpd",0,0,1,0,0
"Gm43409",0,0,0,0,0
"Wdr66",58,121,148,49,92
"Rpl35a-ps6",0,0,0,0,0
"Gm15857",7,6,8,4,4
"Gm15860",14,23,16,14,10
"Bcl7a",1691,2436,2742,1582,2398
"Gm23458",0,0,3,0,0
"5830487J09Rik",0,1,6,1,1
"Gm15747",1,0,1,1,0
"Mlxip",344,510,752,331,600
"Gm42907",0,1,0,0,0
"Gm42908",0,0,0,0,0
"Gm43813",1,1,0,0,0
"Rpl31-ps6",0,0,0,0,1
"Il31",0,0,0,0,0
"Lrrc43",1,33,21,8,9
"AC157931.1",4,20,32,13,19
"Diablo",130,202,228,181,210
"B3gnt4",4,8,3,6,6
"Gm49027",8,13,15,6,9
"Gm24682",1,1,0,0,2
"Mir7647",0,0,2,0,1
"Vps33a",1688,2056,2634,1364,2124
"Gm43133",0,0,0,0,0
"Clip1",2333,2974,3804,1830,2913
"Gm24840",0,0,0,0,0
"Gm42651",0,1,0,0,0
"Gm43797",4,4,7,2,3
"Zcchc8",377,626,677,431,600
"Rsrc2",1745,2524,3037,1735,2577
"Kntc1",29,48,51,39,64
"Hcar2",0,1,1,2,2
"Hcar1",33,38,58,22,27
"Denr",1189,1857,1841,1418,1636
"Gm43518",0,1,0,0,0
"Ccdc62",14,33,39,17,27
"Hip1r",1467,1853,2083,1283,1563
"Mir7032",0,0,0,0,0
"Vps37b",343,518,599,368,518
"Gm37939",0,0,0,0,0
"Gm34086",1,1,0,0,0
"Gm43661",0,0,0,0,0
"Abcb9",652,894,937,614,739
"Gm16001",32,37,58,17,38
"Ogfod2",548,960,999,735,990
"Arl6ip4",817,1241,1267,912,1064
"Pitpnm2",4374,5812,7396,3727,5924
"Pitpnm2os2",1,1,1,0,0
"Pitpnm2os1",0,0,0,0,0
"Gm42425",0,0,1,0,0
"Mphosph9",240,369,436,211,328
"Gm23171",0,0,0,0,0
"Gm43339",0,2,0,0,1
"Gm43340",0,0,0,0,0
"2810006K23Rik",199,304,324,196,313
"Cdk2ap1",304,429,458,350,365
"Sbno1",2372,3137,4150,1973,3204
"Gm37415",5,4,6,4,6
"Gm27486",0,0,0,0,0
"Kmt5a",642,1236,1321,780,1076
"Rilpl2",246,487,516,337,456
"Gm15621",1,0,1,0,0
"Snrnp35",180,317,317,226,288
"Rilpl1",945,1533,1599,1223,1565
"Gm43034",52,95,106,62,98
"Tmed2",749,1128,1211,801,1158
"Ddx55",341,545,607,392,471
"Eif2b1",604,748,874,623,786
"Gtf2h3",245,402,457,268,426
"Tctn2",288,522,734,374,553
"Atp6v0a2",1035,1535,1857,1048,1442
"Gm24854",0,0,0,0,0
"4930404A12Rik",0,0,0,0,0
"Dnah10",15,113,79,41,66
"Gm43777",0,1,1,0,0
"Ccdc92",1778,2399,2538,1793,2363
"Zfp664",1896,2594,3075,1686,2610
"Rflna",11,19,21,16,23
"Ncor2",2403,3292,3963,2100,3270
"Gm42838",0,0,0,0,0
"Gm42839",0,0,0,0,0
"Gm32585",0,5,1,6,6
"Scarb1",432,640,699,519,649
"Gm42633",0,1,0,0,0
"Gm40323",0,0,0,0,0
"Ubc",1340,2039,1951,1651,1989
"Gm10382",3,6,10,1,4
"Dhx37",340,479,557,344,450
"Gm43752",0,0,1,0,0
"Bri3bp",2823,3365,4407,2126,3515
"Gm43756",1,0,0,0,1
"Aacs",992,1277,1519,898,1295
"Gm27551",0,0,0,0,0
"Tmem132b",2620,3651,4785,2179,3315
"Gm4868",0,0,0,0,0
"1700048F04Rik",1,0,4,3,0
"Gm42945",0,0,0,0,0
"Gm42952",0,0,1,0,0
"Gm7774",0,2,0,0,0
"Gm23151",0,0,0,0,0
"Gm37700",0,0,0,0,0
"Gm40330",0,0,0,0,0
"Gm24839",0,0,0,0,0
"1700081B01Rik",0,2,0,0,3
"Gm33347",0,0,1,0,0
"Gm42953",0,0,0,0,0
"Gm40331",1,0,0,0,2
"Gm42955",0,0,0,0,0
"4933438B17Rik",0,0,0,0,0
"Gm43475",0,0,0,0,0
"4930572K03Rik",0,1,0,0,0
"Gm43476",0,0,0,0,0
"Tmem132c",105,116,182,69,106
"Tmem132cos",0,0,0,0,0
"9430087B13Rik",0,0,0,0,0
"Gm42980",0,0,1,1,3
"Slc15a4",289,521,570,362,502
"Gm43474",0,0,0,0,0
"Glt1d1",332,498,566,313,426
"Tmem132d",281,317,395,166,262
"Gm17132",0,0,0,0,0
"Gm17131",0,0,0,0,0
"Gm42497",0,0,0,0,0
"Gm42496",0,0,1,0,0
"Gm42817",0,1,0,0,0
"Gm42495",4,3,9,10,7
"Gm42500",8,13,3,11,13
"4930573I07Rik",0,0,0,0,0
"Gm42499",0,0,0,0,0
"5930412G12Rik",25,37,54,39,33
"Gm42498",0,1,0,0,0
"Fzd10",13,30,24,8,14
"Piwil1",7,5,9,4,6
"4930553I04Rik",0,0,0,0,0
"Rimbp2",1576,2228,2862,1349,2293
"Gm42875",4,13,4,5,4
"Gm42871",0,0,0,0,0
"Stx2",174,309,346,193,263
"Ran",4125,5806,6559,4605,6108
"Adgrd1",15,56,27,49,28
"Rps16-ps2",53,70,64,68,80
"Gm43001",0,0,1,2,2
"Gm40332",1,0,1,0,1
"Sfswap",731,1180,1358,730,1070
"Gm42979",19,23,38,7,18
"Mmp17",4363,6740,8392,4340,7400
"Gm6139",1,1,0,0,2
"Zfp11",161,184,233,121,187
"Sept14",0,0,0,0,0
"Mrps17",1044,1452,1635,1089,1562
"Nipsnap2",1123,1792,2073,1343,1739
"Gm15903",1,1,3,0,0
"Psph",364,505,530,434,564
"Cct6a",4047,5693,6451,4123,5815
"Gm23245",0,0,1,0,2
"Snora15",1,1,1,0,0
"Sumf2",238,409,387,263,333
"Phkg1",337,435,527,379,479
"Gm42790",0,2,1,0,0
"Chchd2",3771,5902,5783,4828,5970
"Zbed5",112,189,208,114,172
"Nupr1l",8,17,29,18,15
"Vkorc1l1",1295,1739,2145,1207,1644
"Gm42986",0,0,2,0,0
"Gm43482",0,0,1,0,0
"Gusb",350,523,646,359,499
"Asl",358,479,493,318,409
"Crcp",381,605,622,458,598
"Tpst1",655,989,1023,691,1004
"2210412B16Rik",0,0,2,1,3
"Kctd7",276,377,504,243,424
"Rabgef1",644,860,936,602,804
"Gm15920",42,55,64,65,68
"Gm15921",0,1,0,0,0
"Tmem248",1020,1446,1739,993,1532
"Gm6598",6,17,19,9,13
"Gm42467",0,0,0,0,1
"Sbds",1327,1967,2048,1466,1909
"Tyw1",210,283,346,253,251
"Caln1",3941,4143,6435,2144,3738
"A330070K13Rik",25,29,34,18,29
"Gm43418",0,0,0,0,0
"Gm23761",0,0,0,0,0
"Gm42894",32,46,49,29,55
"Galnt17",2429,3584,4521,2498,3786
"Gm42897",0,0,0,0,0
"Gm42896",0,1,1,0,0
"Gm43165",1,0,2,0,0
"Gm43166",0,0,0,1,0
"Gm29681",0,0,0,0,0
"Auts2",119,112,215,78,156
"Gm27266",0,0,0,0,0
"Gm42589",0,0,0,0,0
"Gm42588",0,0,0,0,0
"2810432F15Rik",0,0,0,1,0
"Gm42591",0,0,0,0,0
"Gm43483",0,0,0,0,0
"Gm42443",0,0,0,0,0
"Gm42442",0,0,0,0,0
"4930563F08Rik",0,0,0,0,0
"C230071H17Rik",0,0,0,0,0
"Gm42441",0,0,0,0,0
"Gm42440",0,0,0,0,0
"Gm42439",0,0,0,0,0
"Gm42438",0,0,0,0,0
"Gm42991",0,0,0,0,0
"Gm42992",0,0,0,0,0
"2610011E03Rik",0,0,0,0,0
"Gm42993",0,0,0,0,0
"Gm42995",0,0,0,0,0
"Gm42996",0,0,0,0,0
"Gm42989",0,0,0,0,0
"Gm43019",0,0,0,0,0
"Gm43018",0,0,0,0,0
"Gm43187",0,0,0,0,0
"Gm43188",0,0,0,0,0
"Gm43186",0,0,0,0,0
"Gm28616",0,0,0,0,0
"Gm42626",0,0,0,0,0
"Gm38373",0,0,0,0,0
"Gm25722",0,0,0,0,0
"Gm42625",0,0,0,0,0
"Gm10051",3,1,7,12,6
"Gm17979",0,0,0,0,0
"Gm36667",0,0,0,0,0
"Gm7902",2,0,6,1,1
"Gm2404",0,0,0,0,0
"1700030N18Rik",0,0,1,0,1
"Gm15627",7,8,7,4,4
"Castor2",3025,3665,4206,2593,3357
"Rcc1l",232,303,369,203,343
"B230377A18Rik",11,23,21,9,20
"Gtf2ird2",305,403,486,288,370
"Gm24139",0,0,0,1,0
"Ncf1",96,186,221,123,218
"Gtf2i",4248,6313,7263,4408,6123
"Gm43481",7,17,32,7,17
"Gm43480",0,0,0,0,0
"Mir3965",0,0,0,0,0
"Gtf2ird1",191,359,424,197,256
"n-R5s178",0,0,0,0,0
"Gm26340",0,0,0,0,0
"Gm42882",0,0,0,0,0
"Gm16020",2,0,3,1,4
"Gm42885",0,0,0,0,0
"Clip2",3024,3755,4466,2609,3945
"2700029L08Rik",1,3,3,1,1
"Gm42884",3,3,4,1,0
"Syna",135,222,273,102,233
"Mir7228",0,0,0,0,0
"Rfc2",546,761,864,628,772
"Lat2",18,38,32,13,26
"Eif4h",8612,11668,12868,8859,12016
"Limk1",820,926,1070,651,794
"Gm10369",1,0,0,3,2
"Eln",158,257,425,99,167
"Gm30003",14,2,10,5,10
"Tmem270",0,0,0,0,0
"Cldn13",0,0,0,0,0
"4933439J24Rik",0,0,0,0,0
"9030607J07Rik",0,0,0,0,0
"Mettl27",133,222,197,113,184
"Cldn4",0,1,0,0,0
"Cldn3",6,43,61,48,34
"Wbscr25",2,2,6,1,4
"Rps29-ps",1,0,0,0,0
"Gm43372",3,2,8,5,4
"Abhd11",352,501,609,414,536
"Abhd11os",12,60,25,58,38
"Stx1a",2176,2849,2830,1631,2341
"Bud23",457,706,780,557,695
"Gm25492",4,7,12,8,8
"Dnajc30",588,807,953,684,851
"Vps37d",433,616,668,453,594
"Mlxipl",34,43,56,31,49
"Gm43500",0,0,0,0,0
"Tbl2",563,827,1019,561,785
"Bcl7b",730,1197,1280,943,1246
"Baz1b",1855,2617,3357,1730,2733
"Gm25315",0,0,0,0,0
"Fzd9",100,144,222,94,140
"9430007M09Rik",0,0,0,0,0
"Fkbp6",1,3,0,1,3
"Trim50",1,0,0,0,0
"Nsun5",121,184,181,109,152
"Pom121",1141,1324,1806,866,1432
"Mir7033",0,0,0,0,0
"Hip1",714,933,1255,545,776
"Gm42731",0,2,1,0,0
"Ccl26",0,0,0,0,0
"Ccl24",4,7,7,7,6
"Gm43123",0,0,0,0,0
"Rhbdd2",1417,1915,2313,1326,1920
"Gm15607",0,0,0,0,0
"Gm21839",0,0,0,0,0
"Gm43091",2,0,2,0,0
"Por",1579,2594,2840,1971,2592
"Gm16061",0,2,0,0,0
"Tmem120a",308,412,447,322,389
"Mir7034",0,0,0,0,0
"Styxl1",3,12,10,4,7
"Mdh2",7789,10950,11597,8890,10952
"Srrm3",631,919,998,637,843
"Gm23268",0,0,0,0,0
"Srrm3os",1,0,0,0,0
"Gm22450",0,0,0,0,0
"Hspb1",88,219,232,159,202
"Gm42533",0,0,2,0,0
"Ywhag",22662,30388,37256,19669,30702
"Ssc4d",18,31,41,22,34
"Zp3",0,2,3,4,3
"Dtx2",95,166,186,129,169
"Upk3b",0,0,0,0,0
"Upk3bl",0,2,3,1,0
"Rasa4",50,91,110,71,79
"Gm22214",0,0,0,0,0
"Gm15701",0,0,0,0,0
"Mir7035",0,0,0,0,0
"Polr2j",494,741,729,595,768
"Gm43604",7,13,9,6,10
"Lrwd1",169,272,308,201,264
"Alkbh4",160,215,283,164,224
"Orai2",3098,5221,6115,3632,5626
"Prkrip1",355,515,530,371,468
"Gm5050",0,1,0,0,0
"Sh2b2",69,100,112,47,70
"Cux1",705,814,891,547,635
"Gm16599",0,0,0,0,0
"A430110C17Rik",0,0,0,0,0
"Mir721",0,0,0,0,0
"Gm38082",1,0,3,0,2
"Myl10",0,0,0,0,0
"Col26a1",45,50,68,45,40
"Gm20485",0,0,0,0,0
"Gm43649",1,1,0,0,1
"Ift22",846,1337,1366,966,1234
"4933404O12Rik",239,300,430,219,311
"Fis1",2491,3698,3704,3222,3794
"Cldn15",1,7,2,1,2
"Znhit1",595,985,970,792,955
"Plod3",532,719,822,558,653
"Mir702",0,0,0,0,0
"Gm7284",0,0,0,0,0
"Gm26989",0,0,0,0,0
"Vgf",4325,5551,6689,3918,4954
"Ap1s1",4647,6235,7198,4814,6526
"Serpine1",16,16,25,9,11
"Trim56",203,310,469,200,303
"Muc3",0,2,0,1,0
"Gm3054",0,0,0,0,0
"Gm40348",1,1,0,0,1
"Gm20768",4,3,8,1,3
"Muc3a",32,47,62,44,48
"Gm42456",2,4,8,8,17
"Ache",1392,1599,2051,1196,1671
"Mir8116",0,5,0,1,1
"Ufsp1",167,263,288,174,210
"Srrt",1486,2402,2396,1519,2145
"Mir7036",0,0,0,0,0
"Gm43013",0,0,0,0,0
"Trip6",105,195,205,117,174
"Slc12a9",542,750,830,532,708
"Gm43012",1,0,4,0,1
"Ephb4",156,193,286,155,224
"Zan",2,5,8,5,1
"Rpl36-ps9",0,0,0,0,0
"Epo",0,0,1,1,0
"Pop7",412,589,566,484,619
"9130604C24Rik",17,40,30,13,23
"Gm8066",7,12,21,2,21
"Gigyf1",792,1055,1393,623,964
"Gnb2",5908,8435,9099,6976,8675
"Mir6418",0,0,0,0,1
"Gm17112",12,12,34,9,12
"Actl6b",1369,2039,2170,1511,1979
"Tfr2",157,145,247,122,141
"Mospd3",236,350,426,231,336
"Gm7285",1,3,8,1,2
"Pcolce",198,653,816,512,686
"Fbxo24",2,7,17,8,7
"Gm36266",5,4,4,2,2
"Gm16089",5,6,9,8,5
"Lrch4",3,7,4,2,5
"Gm20605",10,25,39,19,23
"Sap25",4,14,11,5,4
"Irs3",8,6,14,6,8
"Agfg2",1273,1863,2179,1382,1987
"Gm15498",0,0,0,0,0
"Gm15753",10,5,9,9,10
"Nyap1",1790,2230,2812,1488,2190
"Tsc22d4",2031,2851,3032,2266,2876
"Ppp1r35",215,316,297,287,262
"Mepce",840,1303,1478,992,1309
"Zcwpw1",61,77,91,76,86
"Pilra",2,4,2,0,10
"Pilrb1",0,0,0,0,0
"Gm36551",0,0,0,0,0
"Pilrb2",1,0,2,2,0
"Gm43495",0,0,0,0,0
"Gm43494",0,0,0,0,0
"Gm3103",0,0,0,0,0
"Cyp3a13",5,17,14,8,7
"Gm15502",0,2,1,0,0
"Gm8099",2,5,7,2,2
"Gjc3",696,1114,1202,818,1240
"Azgp1",0,1,0,2,1
"Gm4963",0,0,0,0,0
"Gm29127",0,0,0,0,0
"Smok3a",0,0,0,0,0
"Smok3b",0,0,0,0,0
"Smok3c",0,0,0,0,0
"Zkscan1",1112,1392,1810,872,1447
