"","Veh1","Veh2","STZ1","STZ2","STZ3"
"Ormdl1",505,450,420,384,546
"Pms1",1710,1490,2001,1578,1611
"Mstn",64,36,86,35,60
"Inpp1",3016,2843,3376,2982,2875
"Gls",48841,45589,52065,46584,50302
"Stat1",770,743,915,1069,1145
"Nabp1",2595,2463,2948,2115,2620
"Tmeff2",6911,6941,7735,6495,6870
"Mgat4a",6539,6110,6403,6389,6412
"Unc50",1941,1843,2014,1887,1905
"Coa5",6190,6028,6613,6166,6441
"Inpp4a",21034,19615,24343,22295,21168
"Cnga3",10,12,19,2,12
"Tmem131",11937,10689,12475,11370,12031
"Zap70",328,222,287,186,235
"Sema4c",812,934,904,852,821
"Plekhb2",13858,13791,16010,13968,14147
"Cfc1",1,2,4,0,5
"Prss39",0,0,1,0,0
"Ptpn18",117,141,94,101,160
"Imp4",2231,1926,2180,1979,2288
"Dst",4431,4148,4731,4505,4242
"Prim2",511,517,690,597,562
"Zfp142",4132,3912,3990,4174,3738
"Col19a1",3100,2932,3442,3454,2885
"Rhbdd1",800,888,853,717,752
"Col9a1",49,44,45,60,59
"Tm4sf20",0,0,0,0,0
"Mff",13094,12219,14044,12669,13098
"Fam135a",5593,5605,6583,6307,5771
"Sdhaf4",710,782,806,645,798
"Smap1",7152,6714,7887,6823,7328
"B3gat2",1913,1625,2096,1620,2111
"Ogfrl1",23488,20073,24634,21460,23037
"Agfg1",12595,12447,13609,12262,13177
"Nhej1",61,66,94,78,65
"Sphkap",40631,33645,41124,37081,37455
"Ccl20",0,2,4,2,3
"Wnt10a",182,193,172,248,159
"Cyp27a1",180,253,266,264,266
"Rnf25",1963,2013,2269,2042,2038
"Bcs1l",992,983,1080,890,944
"Plcd4",1442,1232,1338,1281,1437
"Rqcd1",2097,2141,2269,2169,2041
"Vil1",9,12,29,13,12
"Ctdsp1",1896,2158,1837,1702,1917
"Slc11a1",135,148,161,114,609
"Pnkd",9222,8446,9924,9028,8559
"Cxcr2",0,4,8,0,47
"Ppm1f",6017,5762,5815,5494,5754
"Tnp1",0,0,0,0,0
"Igfbp5",18665,19799,21634,22192,23924
"Xrcc5",1405,1545,1512,1408,1365
"Tmem169",1237,1171,1487,1210,1210
"Pecr",308,303,292,273,233
"Atic",2033,2155,2486,2099,2119
"Fn1",4768,7260,8257,6688,7704
"Bard1",101,97,112,98,95
"Zfand2b",806,684,823,684,746
"Abcb6",127,110,134,128,108
"Ankzf1",1811,1711,2042,1829,1802
"Glb1l",757,1003,814,709,745
"Stk16",2521,2292,2713,2414,2288
"Tuba4a",20422,19036,21091,20025,18019
"Dnajb2",3672,3726,3965,3504,3506
"Ptprn",27648,26988,30283,26602,26784
"Slc23a3",13,12,18,24,14
"Speg",13169,12979,13742,14254,13064
"Des",40,87,66,71,46
"Dnpep",1311,1437,1583,1303,1350
"Obsl1",1094,1187,1257,1052,976
"Stk11ip",1960,1890,2117,2047,1826
"Trip12",31885,29454,32524,31174,31665
"Slc16a14",1071,992,1067,982,832
"Sp100",168,205,257,333,399
"Itm2c",39547,40398,43719,36779,42508
"4933407L21Rik",211,215,284,192,254
"Spata3",48,52,50,36,29
"2810459M11Rik",1090,1299,1315,1275,1669
"Htr2b",4,0,4,3,115
"Psmd1",10410,9331,10827,9601,9914
"Ncl",24440,24042,25397,24556,24937
"Epha4",42328,36773,40645,40116,41635
"Nmur1",1,6,4,5,7
"Ptma",15447,14417,15797,14223,16112
"Pde6d",1668,1650,1899,1581,1547
"Cops7b",1392,1418,1622,1428,1449
"Nppc",98,116,146,172,96
"Farsb",4115,3939,4542,3993,4407
"Alppl2",0,0,0,0,0
"Ecel1",148,204,299,174,223
"Mrpl44",992,935,1185,956,988
"Serpine2",9085,8473,9727,9168,10438
"Chrnd",0,0,0,0,0
"Chrng",0,0,0,0,2
"Eif4e2",3595,3321,3706,3567,3592
"Efhd1",1130,1227,1104,1036,925
"3110079O15Rik",5,4,4,2,0
"Ngef",5730,6365,7534,8070,5684
"Ndufa10",8086,7259,8587,7521,7886
"Rnpepl1",2098,2381,2298,2290,2195
"Capn10",1719,1661,1702,1699,1527
"Gpr35",54,51,72,56,207
"Agxt",0,0,0,0,1
"Mterf4",1180,1114,1269,1178,1141
"Pask",549,516,508,557,508
"Ppp1r7",10426,9810,11430,10752,10031
"Sept2",7557,7296,7036,7643,8287
"Stk25",14573,14267,16749,14368,14696
"Bok",1905,1729,1960,1518,1723
"Thap4",1412,1469,1415,1326,1402
"Atg4b",3940,3923,4425,3817,3822
"Dtymk",1534,1477,1505,1545,1481
"Ing5",1372,1320,1538,1488,1417
"Pdcd1",0,9,6,4,56
"Inpp5d",957,1002,1185,1216,1775
"Atg16l1",5645,5256,5873,5828,5420
"Spp2",4,6,2,8,11
"Iqca",156,166,141,96,125
"Mlph",212,205,215,185,192
"Rab17",1,0,3,2,0
"Lrrfip1",5452,4736,5734,5416,5129
"Scly",1060,1053,1137,1079,1017
"Klhl30",2,14,4,6,6
"Ilkap",2829,2702,3001,2765,2756
"Asb1",4271,4109,4452,3880,4128
"Cdh7",1311,1179,1773,2014,1284
"Hdac4",10347,8740,9903,8734,9753
"Serpinb8",390,439,360,450,268
"Cln8",2366,2185,2572,2394,2656
"2310035C23Rik",11684,11659,12850,11922,12155
"Tnfrsf11a",330,309,469,450,510
"Htr4",2012,1733,1747,1605,1920
"Serpinb11",4,4,2,0,2
"Slco6c1",2,14,7,6,6
"Gin1",765,696,833,723,710
"Pam",18254,18361,21092,20042,17733
"Slco6d1",0,0,0,0,0
"Ccdc93",4834,4113,4788,4321,4723
"Actr3",23103,20855,23122,21845,23807
"Slc35f5",1683,1789,1903,1800,1863
"Gpr39",16,10,8,10,10
"Lypd1",6825,6438,8265,6253,7341
"Tmem163",460,519,579,439,493
"Acmsd",0,2,2,0,1
"Ccnt2",13099,11632,13259,13351,12498
"Ubxn4",7271,6478,7531,6899,7296
"Lct",4645,3780,3630,3949,4617
"Mcm6",1175,1186,1196,1292,1310
"Dars",5366,5242,5959,5100,5599
"Rgs18",10,13,8,30,30
"Rgs1",12,18,6,28,218
"Rgs2",2380,2303,2551,2464,2383
"Cdc73",12851,11741,13778,12560,13076
"Cfh",3166,4565,4512,4272,5917
"F13b",0,0,2,0,1
"Tsn",6858,6981,7192,6623,6829
"Nifk",1694,1539,1738,1672,1798
"Tfcp2l1",803,734,784,940,942
"Epb4.1l5",1510,1434,1257,1281,1252
"Ptpn4",20433,18447,22801,20748,21608
"Dbi",2804,3212,2873,2202,2816
"Sctr",33,50,58,26,47
"3110009E18Rik",119,139,118,136,141
"Steap3",335,452,423,459,557
"Marco",0,0,0,0,4
"Nek7",5715,5310,5664,5396,5862
"Atp6v1g3",0,0,0,0,0
"Ptprc",450,628,763,702,2423
"Nr5a2",2,5,6,3,3
"Cd55",823,988,764,611,791
"Daf2",9,9,6,7,3
"Ddx59",501,531,551,527,544
"C4bp",47,34,47,37,56
"Cacna1s",21,34,27,23,37
"Pfkfb2",2512,2466,2651,2568,2407
"Tmem9",2636,2947,2814,2500,2664
"Pkp1",0,2,4,3,2
"Tnnt2",162,164,175,305,97
"Fcamr",0,1,2,0,2
"Il20",0,0,0,0,0
"Pigr",2,0,0,0,0
"Tnni1",156,175,180,190,166
"Il24",0,0,0,0,0
"Csrp1",9457,9641,10150,9437,8665
"Gpr37l1",8147,8311,8725,8285,8889
"Srgap2",10831,10033,10569,9688,10055
"Arl8a",9725,9776,10894,9905,10030
"Eif2d",2637,2582,2712,2617,2507
"Ube2t",78,48,56,57,58
"Rassf5",1537,1352,1648,1511,1674
"Avpr1b",29,26,32,37,40
"Rab29",226,259,376,253,329
"Nucks1",29504,28640,30758,29311,29335
"Slc45a3",39,55,40,40,63
"Elk4",4949,4688,4943,4818,4688
"Cdk18",1374,1541,2076,1475,1531
"Rbbp5",4804,4335,4981,4327,4547
"Nfasc",27137,24843,28419,24338,25072
"Lrrn2",14188,12915,14272,11766,14566
"Pik3c2b",3210,3252,2995,3202,2568
"Chit1",3,12,2,4,4
"Syt2",2770,2410,2688,3486,2179
"Klhl12",4172,4026,4387,4146,4086
"Cyb5r1",1077,1066,1153,928,984
"Adipor1",4648,4749,4387,4020,4403
"Ppfia4",8355,8508,8865,8696,8491
"Myog",2,4,4,8,4
"Atp2b4",12654,14173,23236,20223,13513
"Tor1aip1",4159,4158,4241,4009,4114
"Lhx4",4,0,0,30,3
"Xpr1",17088,16166,17938,15603,16791
"Stx6",6170,6025,6302,6393,6429
"Mr1",581,749,496,423,549
"Glul",108913,92727,114724,104555,106952
"Rgs16",272,354,361,413,417
"Lamc1",4598,4634,4331,4652,4431
"Lamc2",415,465,610,852,394
"Ncf2",223,231,308,239,619
"Rgl1",11094,9614,12230,10140,11180
"Fam129a",227,308,269,356,402
"Rnf2",3967,3599,4106,3894,4110
"Adck3",3212,2881,3423,2910,3299
"Cdc42bpa",53148,45616,55785,52144,49475
"Ahctf1",11638,9492,11270,10624,11370
"Tfb2m",1512,1377,1555,1367,1536
"Kif26b",4894,4458,5083,4462,5332
"Efcab2",1755,1769,1904,1626,1656
"Parp1",9200,8107,9107,8554,8426
"Mixl1",0,0,0,0,0
"Acbd3",3867,3932,4187,3748,3937
"Cox20",1026,969,860,750,929
"Desi2",3154,3062,3053,3099,3278
"Sdccag8",2504,2041,2757,2391,2460
"Capn2",5036,5002,5684,5202,5133
"Trp53bp2",4035,3473,3742,3915,3396
"Srp9",3776,3483,3932,3341,3565
"Cnih3",3088,3361,4055,3371,3057
"Nvl",9141,7875,9443,9186,8977
"Tmem63a",2013,2102,1921,2062,1563
"Pycr2",1549,1361,1592,1357,1520
"Wdr64",0,0,0,0,0
"Opn3",83,120,126,156,109
"Fh1",3981,3667,4171,3646,3859
"Rgs7",6094,5662,6632,6601,5976
"Mptx1",0,0,0,0,0
"Spta1",12,6,14,14,14
"Ifi202b",4,3,1,2,5
"Mnda",8,7,16,17,90
"Apcs",0,0,0,0,0
"Dusp23",263,233,345,224,275
"Cfap45",375,365,513,261,360
"Tagln2",387,413,410,391,763
"Slamf9",26,22,32,36,88
"Copa",18307,17907,20112,17795,19097
"Dcaf8",13166,12351,14135,13247,12966
"Vangl2",1139,1449,1245,1300,1243
"Uck2",2361,2279,2286,2285,2145
"Fmo9",0,5,0,0,0
"Tada1",2478,2207,2324,2344,2514
"Dusp27",13,34,24,24,38
"Pou2f1",5583,5372,5758,5527,5775
"Mpzl1",1661,1732,1845,1636,1797
"Adcy10",60,61,87,78,64
"Mpc2",4700,4627,4967,4262,4442
"Dcaf6",10601,9557,11613,10330,10589
"Tbx19",3,0,0,0,2
"Xcl1",0,0,0,2,4
"Dpt",5,4,4,0,4
"Nme7",1522,1425,1544,1505,1524
"Atp1b1",124370,113026,129220,109274,116941
"Blzf1",2048,1975,2157,2090,2026
"Ccdc181",1537,1425,1825,1425,1562
"F5",4696,7200,199,139,512
"Selp",0,4,6,3,47
"Sell",0,9,8,1,44
"Sele",0,0,0,0,10
"Scyl3",2592,2818,3187,2882,2631
"Kifap3",24341,22431,27727,23474,23585
"Prrx1",1159,1228,1241,1333,1353
"Astn1",29902,29123,35018,29377,31054
"Sec16b",48,68,59,70,65
"Tex35",16,20,21,17,11
"Ralgps2",8460,7050,8339,7422,8845
"Abl2",14285,13224,14195,13311,13929
"Soat1",5757,6051,5865,5435,6431
"Axdnd1",49,49,74,39,63
"Nphs2",4,20,22,25,23
"Smyd2",2603,2523,2735,2657,2427
"Ptpn14",2231,2732,2472,1828,1964
"Cenpf",195,140,163,160,226
"Kctd3",7105,6691,7148,7193,6546
"Ush2a",25,37,83,92,47
"Esrrg",1930,2079,2060,1903,1832
"Spata17",142,148,112,72,100
"Slc30a10",1463,1659,1729,1539,1541
"Eprs",10886,10448,10965,11227,11697
"Cr2",38,46,81,56,43
"Bpnt1",4418,3959,4509,3941,4213
"Iars2",4812,4713,5169,4906,4709
"Mark1",5162,5087,5641,5469,4655
"Marc1",20,20,30,10,16
"Nek2",83,79,90,76,86
"Lpgat1",23532,22470,26639,23674,22110
"Ppp2r5a",6853,6232,7330,6448,7060
"Tmem206",704,628,695,710,781
"Atf3",31,38,36,47,331
"Batf3",25,21,22,25,35
"Tatdn3",1819,1760,1971,1766,1901
"Angel2",4495,4219,4869,4872,4726
"Traf5",121,123,131,145,123
"Irf6",64,112,85,70,56
"Lamb3",89,148,149,133,124
"Plxna2",18162,17036,20718,19585,18181
"Usf1",2956,2580,3116,2674,2914
"Nmt2",10979,9726,11980,10063,10702
"Acbd7",21,26,15,9,18
"Olah",5,5,10,2,6
"Suv39h2",577,481,534,578,534
"Dclre1c",1791,1657,2159,1926,2012
"Cfap126",71,116,65,42,65
"Meig1",158,206,147,137,192
"Fam107b",1228,1446,1224,989,1349
"Fcgr2b",230,255,354,287,1368
"Frmd4a",10133,9146,10847,10496,11076
"Dusp12",1007,1027,1126,1092,1001
"Sephs1",2221,2277,2245,2150,2206
"Atf6",10016,8796,9652,9593,9822
"Phyh",4156,3963,4321,4090,4130
"Uhmk1",38449,36187,41841,35372,38717
"Ucma",82,60,83,39,58
"Mcm10",61,76,61,79,70
"Uap1",3297,2906,3686,3209,3184
"Optn",1526,1627,1682,1674,1390
"Ddr2",1289,1908,1284,1302,1430
"Hsd17b7",1854,1854,1907,1749,1615
"Ccdc3",1001,1013,1169,941,1193
"Rgs5",7988,7050,7798,6968,5316
"Enkur",243,273,240,214,241
"Nuf2",232,194,167,230,252
"Lmx1a",129,275,23,2,23
"Aldh9a1",2015,1914,2160,1943,1999
"Mgst3",1883,1863,2147,1967,1749
"Fmo3",0,4,0,0,0
"Fmo4",15,14,5,8,7
"Mettl13",1149,1268,1263,1218,1269
"Vamp4",6865,6335,7545,6729,6811
"Myoc",1357,1550,1393,1806,1372
"Pigc",977,918,1103,931,1016
"Tnfsf4",0,0,0,0,0
"Prdx6",10614,9861,11269,11171,12276
"Klhl20",2219,2088,2421,2091,2160
"Nsun6",825,758,919,878,800
"Cenpl",153,116,182,140,166
"Dars2",1704,1545,1940,1597,1677
"Mrc1",416,802,862,689,1124
"Serpinc1",41,37,23,36,44
"Stam",7246,6919,7955,7158,7562
"Rabgap1l",34511,30721,36011,31388,33904
"Trdmt1",667,640,737,625,677
"Tnn",17,16,28,25,15
"Cubn",83,121,95,117,105
"Rsu1",1973,1871,2049,1956,2137
"Vim",2221,3190,2847,2872,7348
"4930562F07Rik",4,4,4,0,2
"Pter",174,198,184,168,180
"4921504E06Rik",0,2,5,2,2
"Ptf1a",0,0,4,1,0
"4930426L09Rik",55,41,44,37,51
"Pip4k2a",7777,6368,7973,6904,7174
"Bmi1",6655,5864,6357,6121,6546
"Dnajc1",4873,4203,4705,4414,4820
"Mllt10",5481,5276,5759,5654,5329
"Plxdc2",5746,6179,7778,6561,6485
"Nek6",2285,2664,2441,2457,2866
"Psmb7",4968,4484,5101,4460,4937
"Nr5a1",4,6,3,5,6
"Ppp6c",6696,6441,6832,6389,6809
"Golga1",4294,3824,4548,4143,4256
"Arpc5l",3866,3755,4122,3857,3931
"Orc4",7029,6473,7298,7101,6802
"Kif5c",87925,81249,94815,86289,85675
"Lypd6b",308,359,449,425,359
"Mmadhc",2175,2010,2168,2024,2100
"Fam188a",5147,4531,5232,4780,5129
"Itga8",4031,3564,4306,3924,4287
"Il2ra",6,17,8,21,40
"Spopl",5329,4704,5495,5367,5391
"Pfkfb3",3466,2901,3077,3040,4014
"4931423N10Rik",52,48,77,75,63
"Yme1l1",13025,11708,13186,11939,12898
"Prkcq",1171,1317,795,711,766
"Mastl",199,163,176,178,151
"Acbd5",8854,7704,8959,8632,8550
"Abi2",31914,29701,34023,32490,32339
"Pdss1",1289,1215,1399,1368,1279
"Pkn3",32,61,41,64,37
"Apbb1ip",700,689,832,707,1094
"Gad2",15244,14123,15961,13673,13571
"Zbtb43",2657,2556,2635,2737,2710
"Odf2",7097,6669,7972,7611,6787
"Slc2a8",945,988,998,924,818
"Lrsam1",2286,2086,2747,2119,2304
"Fam129b",1761,2112,1565,1520,1918
"Stxbp1",41379,39804,47763,45439,39499
"Coq4",693,777,860,702,649
"Med27",1347,1247,1421,1338,1291
"Ttf1",1468,1215,1496,1322,1447
"Barhl1",1,9,2,1,4
"Ddx31",802,720,802,704,855
"Ak8",151,207,133,85,109
"1700026L06Rik",29,34,12,9,7
"Dpm2",1662,1657,1760,1606,1606
"St6galnac6",5982,6009,6697,6020,5851
"Tsc1",7790,7281,8644,8229,7794
"Eng",659,716,829,669,553
"Gfi1b",0,0,0,0,0
"Gtf3c5",1319,1320,1503,1157,1410
"Ak1",4873,4968,5429,4623,4943
"Cel",2,0,0,4,0
"Slc25a25",3985,3879,4146,4125,3929
"Ptges2",1518,1551,1546,1521,1468
"Ralgds",8373,7623,8454,7871,8008
"Lcn2",4,18,408,38,853
"Kcnj3",18648,16286,19285,18562,17248
"Dnm1",87745,82654,94404,87538,87564
"Nr4a2",4181,4323,6685,4791,4693
"Gpd2",16506,15524,17458,15701,15591
"Galnt5",14,16,22,10,22
"Gbgt1",60,118,99,86,95
"Ermn",7078,5334,6412,5670,5960
"1700007K13Rik",144,141,99,50,100
"Cytip",8,14,17,14,192
"Olfm1",54605,50178,55440,51615,55911
"Acvr1c",3794,3590,4016,3427,3867
"Fcnb",2,0,5,6,3
"Acvr1",3232,3122,2853,2954,3230
"Col5a1",1294,1817,2019,2716,1444
"Upp2",2900,2742,3251,3152,3062
"Lamc3",498,710,653,548,470
"Fibcd1",9526,8863,10211,6684,9620
"Abl1",5606,5563,5867,5678,5550
"Fubp3",3359,3332,3533,3593,3335
"Tor1b",3194,2961,3174,3132,3209
"Tor1a",1763,1630,1806,1762,1812
"BC005624",3529,3266,3806,3475,3424
"Crat",2720,2744,3125,3016,2859
"Usp20",5830,5445,5973,5311,5480
"Dolpp1",880,819,955,865,874
"Ntmt1",1044,1153,1111,1080,1126
"Fam73b",4756,4821,4957,4730,4366
"Sh3glb2",7757,7751,8240,7940,7409
"Hspa5",26501,16646,24056,15018,23447
"Kynu",4,12,2,4,66
"Gapvd1",11738,10937,12046,11363,11496
"Psmd5",3398,3128,3562,3158,3477
"Cutal",52,56,22,23,23
"Zeb2",57914,51992,58974,51952,61103
"Phf19",72,57,70,72,74
"Hc",12,16,68,11,20
"Traf1",65,75,88,63,106
"Rab14",18953,17605,20011,17684,18635
"Gsn",3110,3852,3225,3125,3657
"Stom",799,884,934,861,1121
"4930568D16Rik",0,0,0,0,0
"Dab2ip",9194,9017,9435,10019,8812
"Ttll11",2786,2696,3010,2874,2892
"Mrrf",1200,1196,1467,1088,1205
"Grb14",3269,2790,3082,2829,2609
"Rbm18",4112,3606,4069,3555,4008
"Lhx6",993,1080,1211,912,1017
"Gca",1381,1397,1419,1413,1223
"Morn5",19,50,42,26,34
"Ndufa8",3362,3377,3536,3298,3191
"Ifih1",511,622,605,666,748
"Slc4a10",34228,34391,35799,30530,30742
"Psmd14",5897,5345,6366,5581,5782
"Strbp",37557,35218,43947,44536,36956
"Wdr5",1781,1840,1941,1914,1946
"Brd3",5626,5258,5908,5532,5561
"Lcn4",0,0,0,0,0
"Egfl7",723,866,871,717,583
"Agpat2",62,137,73,76,133
"Notch1",4905,5136,5283,4996,4844
"Sec16a",9126,8897,9581,8851,9346
"Inpp5e",1983,1924,2530,2026,2090
"Pmpca",5700,5658,6245,5760,5546
"Sdccag3",5429,5265,6091,5476,5083
"Card9",99,93,108,110,133
"Gpsm1",2236,2594,2749,2873,2334
"1700019N19Rik",9,14,25,9,17
"Nacc2",8783,9025,9546,8694,9098
"Camsap1",12100,11202,12966,11994,11992
"Lhx3",20,7,9,29,7
"Lcn3",0,0,0,0,2
"Lcn5",0,0,0,0,0
"Fcna",4,14,8,10,14
"Tmem141",364,371,400,378,367
"Ccdc183",1,0,0,9,0
"Mamdc4",211,175,161,203,152
"Traf2",747,679,681,645,682
"Lcn12",8,5,1,0,0
"Abca2",26161,26105,26440,23710,22045
"Nmi",161,182,157,169,235
"Neb",672,600,739,608,737
"Sapcd2",98,140,120,131,89
"Uap1l1",740,950,832,781,916
"Dpp7",1159,1112,1089,986,1191
"Grin1",33432,31927,36931,35511,32339
"Arl6ip6",925,908,979,919,957
"Lrrc26",0,0,0,0,0
"Tmem210",2,2,2,0,0
"Anapc2",4835,5149,5374,4949,4937
"Ssna1",1012,975,1055,966,1014
"Fam166a",4,3,10,10,2
"Rbms1",1590,1948,1658,1730,1665
"Itgb6",53,73,2,2,14
"Arrdc1",286,338,388,443,373
"Zmynd19",1817,1705,2158,1772,1851
"Dph7",1341,1343,1448,1352,1209
"Pax8",4,6,10,2,4
"March7",9389,8664,9687,9415,9486
"Psd4",70,76,88,70,237
"Ly75",158,123,140,135,138
"Il1rn",0,0,2,0,59
"Il1f5",0,0,0,0,0
"Il1f6",0,0,0,0,0
"Il1f8",0,0,0,1,0
"Hnmt",1823,1733,1809,1547,1541
"Baz2b",8497,7384,8815,8247,7861
"Wdsub1",813,848,866,778,890
"Dapl1",0,18,12,25,20
"Pkp4",26227,25775,28593,24492,25666
"Galnt3",694,526,573,493,740
"Nup35",991,1032,1122,1035,1126
"Dusp19",1398,1247,1529,1274,1338
"Nckap1",76135,67551,76909,69219,73234
"Frzb",1746,1293,1584,1245,1722
"Dnajc10",7389,7223,7906,7066,7390
"Ssfa2",7417,7344,6385,6020,6574
"Itga4",6723,4982,7265,5800,6863
"Slc25a12",10936,11279,11803,10934,10515
"Ube2e3",6202,5767,6527,5869,5994
"Dync1i2",13089,12138,14075,12961,13243
"Cwc22",2749,2812,3362,2908,2808
"Cybrd1",409,376,478,301,524
"Zfp385b",3815,3547,4064,3377,3555
"Hat1",1111,972,1040,979,1034
"Xirp2",0,2,4,2,2
"Stk39",9122,9706,7386,6715,6581
"Cers6",10925,10287,11055,9948,10600
"Abcb11",2,2,5,0,6
"Ssrp1",6754,6211,7186,6313,6971
"Dhrs9",0,4,0,0,79
"Lrp2",509,364,399,263,440
"P2rx3",100,81,96,86,90
"Prg3",0,0,0,0,0
"Prg2",2,0,2,0,2
"Slc43a3",62,79,42,79,166
"Slc43a1",6,10,9,19,20
"Timm10",930,868,995,868,820
"Smtnl1",2,0,0,2,1
"Ube2l6",228,289,277,296,332
"Clp1",604,500,578,505,555
"Med19",2149,2110,2307,2068,1964
"Tfpi",253,396,350,336,473
"Fastkd1",1736,1573,1847,1685,1519
"Itgav",10039,9357,10700,11100,10546
"Phospho2",2189,1871,1967,1917,2144
"Zc3h15",8061,7103,8742,7717,8124
"Mtx2",2736,2474,2913,2498,2677
"Hoxd8",0,6,0,2,0
"Atf2",13735,12821,14722,13798,13628
"Chrna1",64,90,54,56,97
"Ola1",8360,7184,8442,7372,7845
"Sp3",8810,8074,8746,8220,9312
"Itga6",2527,2876,2751,2652,3474
"Kif18a",199,181,225,241,192
"Fshb",0,0,0,0,0
"Arl14ep",4989,4704,5203,4576,4678
"Slc12a6",6793,6068,7678,6946,6672
"Emc4",3222,3080,3432,3067,3060
"Katnbl1",1339,1118,1429,1399,1316
"Nop10",1111,1073,1268,1050,1174
"Lpcat4",2823,2927,3123,3349,2665
"4930430A15Rik",0,0,0,0,0
"Ccdc34",1374,1320,1334,1257,1302
"Lin7c",14494,13269,14189,12765,14392
"Commd9",928,871,995,882,1006
"Traf6",2746,2487,2764,2861,2884
"B230118H07Rik",1679,1648,1802,1515,1729
"Dnajc24",785,784,789,754,761
"Elp4",1885,1994,2079,2030,2074
"Pax6",872,841,821,792,871
"Eif3m",4884,4497,4697,4301,4919
"Prrg4",251,325,135,99,174
"Depdc7",180,152,208,179,233
"Tcp11l1",6139,5384,6757,5847,5831
"Cstf3",3583,3260,4023,3196,3498
"Hipk3",14557,14682,14512,14158,13601
"Fbxo3",7091,6219,7605,6634,6758
"Caprin1",26379,23355,28164,23322,27208
"Nat10",2803,2597,3005,2774,2843
"Elf5",26,28,20,34,34
"Cat",3289,3610,3067,2960,3344
"Pamr1",778,1096,1076,1469,917
"Trim44",28843,27870,31260,28796,29689
"Api5",9274,8028,9721,8673,9096
"Ttc17",4601,4509,4944,4927,4641
"Hsd17b12",4270,4015,4298,3825,3915
"4921507L20Rik",0,0,0,0,0
"Ext2",3042,3074,3390,3243,3126
"Gatm",8121,7598,8310,7526,6952
"Sema6d",8727,9342,9815,9190,9012
"Myef2",12337,10930,13720,12134,12871
"Slc12a1",28,30,18,31,14
"Dut",1182,1105,1295,1172,1239
"Fbn1",2135,2349,2308,1910,2077
"Cops2",9917,9021,10616,9123,10065
"Galk2",1516,1558,1652,1341,1643
"Fgf7",94,77,121,75,111
"Fam227b",8,7,14,9,4
"Meis2",4843,4056,5763,6009,4081
"Cd82",1103,1333,756,647,843
"Tspan18",2148,1812,1861,1493,2149
"Slc28a2",6,8,5,7,17
"Syt13",13421,12640,15425,13524,13162
"Chst1",14297,12772,14597,13186,13632
"Pex16",795,839,922,795,815
"Mapk8ip1",18227,18052,19129,17470,17354
"Duoxa1",0,3,4,0,6
"Duoxa2",0,1,0,0,0
"Sord",1175,1318,1142,1123,1329
"4933406J08Rik",0,0,0,0,0
"Creb3l1",275,339,220,175,216
"Patl2",7,2,6,7,7
"Eif3j1",3894,3535,4061,3895,3955
"Frmd5",3026,2766,3027,3107,2610
"Mdk",522,518,502,582,675
"Wdr76",305,300,468,371,318
"Harbi1",531,516,600,438,530
"Atg13",5776,5482,6325,5795,5672
"Hypk",309,320,277,324,261
"Ell3",0,0,0,1,0
"Arhgap1",3529,3680,4074,3348,3663
"Pdia3",15662,13254,16430,12013,15755
"F2",1,1,4,0,2
"Lrp4",6211,6688,6806,6969,6617
"Map1a",148982,133958,160475,146426,141318
"Arfgap2",4084,4035,4336,4123,4007
"Pacsin3",872,1014,959,1050,825
"Adal",1935,1623,1936,1736,1871
"Hao1",8,2,5,10,4
"Tubgcp4",3058,2954,3353,3067,3099
"Lamp5",1708,1518,1823,2448,1478
"Ubr1",10751,10249,11135,10382,10734
"Snap25",129752,116613,139677,128872,122676
"Mkks",2706,2162,2512,2036,2504
"Jag1",1244,1146,1272,1172,1156
"Slx4ip",1234,995,1310,1147,1182
"Mtch2",7443,7078,7407,7247,7111
"Cdan1",2301,2269,2396,2480,2218
"Haus2",2130,2129,2321,2146,2092
"Lrrc57",2040,1762,1923,2039,2041
"Snap23",1963,1891,1800,1773,1931
"Zfp106",38914,36377,39374,37045,38264
"Vps39",6577,6099,7134,6307,6632
"Ehd4",561,774,828,689,955
"Itpka",8707,8283,9223,9358,8295
"Ltk",978,1052,1214,1257,928
"Tyro3",6141,6839,7431,7865,5601
"Ubox5",1038,1092,1199,976,971
"Oxt",4,8,20,2,7
"Ptpra",18541,17483,19259,16826,18620
"Rtf1",8781,8203,9695,8987,8836
"Ndufaf1",1645,1412,1688,1444,1489
"Nusap1",63,52,65,72,97
"4930402H24Rik",14404,14276,15551,14824,13674
"Atrn",26080,24710,27274,26436,25650
"Chac1",210,259,262,211,221
"Dll4",155,180,133,117,91
"Spint1",111,131,162,99,207
"Gfra4",1836,1911,1947,1725,1977
"Ppp1r14d",1,0,2,0,2
"Adam33",30,74,132,112,103
"Siglec1",40,57,103,161,505
"Rad51",76,72,98,60,72
"Rpusd2",547,613,651,568,606
"Casc5",84,66,68,97,121
"1700037H04Rik",1198,1294,1510,1291,1136
"Spef1",589,464,531,415,449
"Cdc25b",1215,1233,1338,1457,1050
"Knstrn",177,161,240,180,230
"Ivd",6909,6296,6997,6097,6082
"Smox",2429,1957,2722,2328,2256
"Adra1d",3282,3040,3383,2676,3150
"Prnd",0,0,0,0,0
"Rassf2",5159,5474,5759,5544,5467
"Slc23a2",14405,16178,14204,14649,12763
"Tmem230",1614,1623,1687,1534,1533
"Pcna",2234,2051,2206,2111,2277
